,node_id,x1,x2,y0,y1,influence,total_neighbor,iv_avg_nn,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49,N50,N51,N52,N53,N54,N55,N56,N57,N58,N59,N60,N61,N62,N63
0,0,0.2341775216930589,1.52590057532783,3.8656009241579,4.90380018308233,2.87215317117169,4,1.0582531120200862,-1.0061577914041118,-0.8091977039777994,-0.3973401648898121,-0.5531875150877591,-1.0292752079121916,-0.6333643879264887,-1.1273440430991912,0.2563102917959688,-0.9776348772452578,0.9654993051807136,-0.019824719,-0.08831173,-1.1274675,-1.3784645,-1.472679,0.5175624,-1.1249582,-1.0706298,-0.6846141,-0.88760424,-0.5868509,0.9758527,-0.31070974,1.0996268,-0.66205114,0.45528024,0.4873366,0.65053123,-0.16342746,-0.591045,0.72724545,-0.6487893,0.6841165,-0.5690945,0.18348376,0.067347735,1.1587304,1.6184863,0.21085556,0.90943563,-0.5537967,-0.7843505,-0.49571788,0.0859237,-0.538616,-1.1432053,-0.51127815,0.5993263,-0.4281673,0.9058897,-1.4867339,0.42593437,0.21429321,-0.40748468,-0.53529733,0.12890086,0.02556622,-1.6409429,-1.069457,1.446416,-1.0957487,-0.14116128,1.0611966,-1.0407408,0.28282312,0.046279956,-0.49870464,1.0920521,0.92920935,0.11781249,0.4414957,-0.99418163,-1.0479864,0.7497959,-0.0404586835,0.6977896375,0.7722756000000001,0.7293841999999999,-0.1977975284999999,0.117030665,-0.328103019,-0.0220694299999999,0.145259686,-0.6867829475,-0.4634918265,-0.2888645625,0.441480812575,-0.1364220099999999,0.28670879,-1.2690518750000002,-0.0904510535,1.4874784250000002,0.7568085675,-0.26450244,0.4974620575,-0.3060523075,0.2657975689999999,0.940667885,-0.88174618,0.262407495,0.7852053725,0.35309581975,-0.1952444175,0.3849011325,-0.19734729,0.15655229,-0.33943587775,-0.05668439425,-0.33363201875,0.4707769174999999,-0.900231765,-0.43910551025,-0.434241665,0.847324417,-0.1361578275,1.6912256250000002,-0.74689968175,0.7163547075000001,0.125344058375,-0.8407698075000001,0.28281383,-0.550619155,-0.38047511,1.129008965,0.1468858025,-0.1813409899999999,0.0121099234999999,0.6733319040000001,-0.11681950095,-0.4406029524999999,0.14415435,0.556639045,-0.49159499,-0.1824619575,0.378629825,0.0280037549999999,-0.2392270524999999,0.449468125
1,1,-1.49560884197792,0.333865042704197,-3.35320292051762,0.375859086556128,-2.23447434280947,10,-1.682169581236737,0.0737750186033288,-0.6322131303599879,0.2660856088015199,-0.142449647403802,-0.079369185067362,-0.1041563191732991,0.4039578401426405,-0.4250367977337492,0.119828828189311,0.4665125735206265,-1.0191008,0.12829447,0.88551813,0.52775013,1.0405474,-0.20074928,0.41346917,0.11868086,-0.4149945,-0.14580397,-1.315327,-0.2607369,0.7990312,-0.32792422,0.17546412,-0.07970842,0.17449889,0.3893301,0.9164939,-0.107258774,-0.77307534,-0.10048682,1.239407,0.5238084,-0.4169675,-1.0990098,0.8583984,0.6224732,-0.57222766,0.143601,0.8809661,0.0077964133,-0.3370851,0.61188376,0.24767084,0.4728542,-1.5044615,-0.041758798,-1.1071769,1.0528004,0.956622,0.18367966,-1.0732344,-0.15851499,0.6221862,-0.5765833,0.42696318,-0.70557874,0.47248235,1.4669778,0.1675787,-0.21639901,0.5464394,-0.5196957,1.6217966,0.40190828,-0.26235452,0.09779634,1.5571109,-1.2638566,-0.33786875,-0.78839236,0.45813456,0.048194893,-0.0610539185999999,0.0793452975499999,-0.1169561703999999,0.5377905820000001,-0.160300577,-0.469391444,-0.4366170690000001,0.2779117585,-0.1274374664,-0.5907323904999999,-0.0903887189999999,0.2677307959999999,0.4083926169999999,-0.337244132,-0.5621818754000001,-0.3791602966,0.1484698728499999,0.7815951479999999,0.207821151,0.3172398406,-0.31525424,-0.259502501,0.111128559,0.5940731349999999,-0.194317196,0.2027474224999999,1.118683876,0.386085952,-0.69249067143,0.2285028719999999,-0.663365339,-0.2863652496,-0.180600412,-0.5264808348,0.2127912357,-0.5869849582040001,-0.1322818471,-0.1636886723999999,-1.2854310430000002,-0.115577891,-0.1667595785,0.387663879,-0.109260366,-1.030032298,-0.19783824,-0.720821853,0.0451716935,-0.0708855605,-0.248854231,0.735069184,0.19240905086,-1.1263601,-0.5572216115999999,-0.2633872916000001,0.4025974456,-0.6555757310000001,-0.239385922,-0.4423824028999999,0.5322434380000001,-0.267874642,-0.0117342983999999,-0.133080927,0.3663415029,-0.4899487409999999
2,2,-0.506074831802509,0.669878473625947,0.763253921533063,2.58406107961135,0.471252930749799,15,0.3708107081209322,0.9737190269428628,0.5395421125924873,-0.424973577530158,0.792262771663322,0.5042859982258392,0.8294892017293312,0.9762010827472642,-0.5524544260663701,0.8514712984790233,-1.2522195021974625,-0.82043177,1.4115219,0.7057381,0.28840417,-0.8348091,-0.62695664,-0.46567985,-0.12038834,-0.3159936,-0.25936326,-0.1795598,-0.21100147,-0.18800496,-0.27591336,0.3496765,-0.8246692,-0.7434697,-0.48655832,0.29026702,0.12110591,0.35609597,-0.8470173,0.1472779,0.96869373,-0.73448664,0.11649484,0.16838525,-0.09111492,-0.99811584,0.5753587,-0.6018175,1.0759833,0.46608007,-0.72238797,0.034158967,-0.18933982,-0.13469957,0.910628,-1.5434972,0.4701166,-0.61828154,0.62126654,0.12075897,1.0277834,-1.1204305,1.1409447,0.040924195,-0.23376803,-1.0140109,0.94679165,0.034163143,0.7371068,-0.3339022,-0.2802063,-0.13164178,-0.72905254,-0.67975694,-0.10916815,-0.8063569,-0.5014999,-0.4460228,-0.21043468,-0.7097512,1.3131386,-0.0654913955333333,0.3546299030666666,-0.0132119506,0.4138078951533333,-0.5578307389333333,-0.1741356966666666,0.0726525851333333,0.4812021893333333,-0.0717724755999999,-0.5112308576666668,-0.4212288533333333,-0.0912870256666666,0.3536880584666667,0.2190866086666666,0.316208374,-0.1950952543999999,-0.12693498,0.7584431513333333,0.1834255949333333,-0.1113930574,-0.0590515806666666,-0.7623905289333334,0.5378914498,-0.0246849853866666,-0.3910755745333333,-0.1847082358666667,0.5154184483333333,-0.3415204126666667,-0.6858612366666667,0.35243101,-0.7950782546666667,0.2169162999999999,-0.2019464053333333,-0.0213364479333333,-0.1588937306,-0.3715552289333333,0.0056201811333333,-0.4869919306666667,-0.1090727951333333,0.2284271594666666,-0.5642142876000001,0.7516834773333334,-0.3998048911999999,-0.3181701505333333,-0.1627332359999999,0.0616564597333333,0.1959416146666666,-0.2534503005333333,-0.6424142073333334,0.3900871924,-0.1357459576333333,-0.3296409053333333,-0.6093340114,-0.4965379346666667,0.5120663198000001,-0.2772292813333333,0.2106539533333333,0.2570426167999999,0.2607762273333333,0.0166194087333333,0.0600195046666666,0.3403098043333333,-0.1131257302666666,0.4080892986000001
3,3,0.0295956203368907,-0.0479603745161946,0.680408509864424,1.90063634028636,0.011694178720691,17,0.1120845213313768,1.3336966302786764,2.498240736913353,1.963979792002149,1.0788981531991977,-0.4239243683801923,1.1008181440414122,0.8922077080245727,-0.6217707645771329,1.3263710763546988,-0.2431190760028961,-2.047187,-0.023474272,-0.46707588,0.24073727,-0.43516603,0.6678779,-0.71949315,1.0746781,0.33800092,-1.5591462,1.0230571,0.577447,0.13499343,0.12369969,0.61022043,0.10706496,0.75784296,0.18734409,0.24182886,0.28105935,0.32456985,-1.3155692,-0.42359927,0.20562124,0.056871485,0.22839707,0.94787407,0.1918286,0.821977,0.38292804,-0.53975475,0.12757508,-0.46210685,0.25653884,-0.48629642,-0.61115295,-0.1059252,0.09892614,-0.48386598,-0.2907932,-0.16227712,-0.3707648,0.07809726,-0.07764345,-1.1423287,-0.2958413,-0.35585955,-0.109514266,0.6082997,1.3999282,0.77191955,0.26875976,-0.46938145,-1.2262931,0.60785514,0.6320015,-0.13201202,0.601746,-0.6948256,-0.013315338,-0.31821758,0.93964577,0.010630823,0.25514534,0.3148335360588234,0.4871199011764706,0.185967388117647,0.1763191167058823,-0.6423275332352941,0.2654351333529411,-0.1286374429411765,0.1404428550588235,-0.1980503594117648,-0.4716324512352942,-0.0432402058823529,-0.3149263982352941,-0.2112905172352941,0.0498507611764705,-0.0490841558823529,-0.0647196258823529,-0.1285933827647059,0.120275411,0.6769852238235293,-0.2186810785882353,0.0839056710882353,-0.4006316340588234,0.4625613440588236,0.3816954162941176,-0.6430260571176472,0.1350504370588235,0.1789299297058823,0.4276019727647059,-0.2515310074117647,-0.0785046376470588,-0.3104282473999999,-0.028577159,-0.432803095882353,-0.3391396080000001,-0.8853331438235292,0.0675995414117647,0.0011004305882352,-0.0706581651764706,-0.7950628629411766,0.5047064817058824,0.0718867458823529,0.4245932092352941,-0.1766068549411764,0.1349170549411764,-0.3262686838235294,-0.2588307381529411,0.3766988408235294,0.0138937865294117,-0.2620475564117647,0.4630710617647057,0.2833741577058823,-0.4818741405294118,0.005581224117647,-0.2228091347058823,-0.1509419227058823,-0.1794025737647058,-0.2566390140411764,0.0027085862941176,0.115012515117647,-0.1882074484705882,-0.2907316642352941,0.9135080411764708,0.0273358676470588,0.054322661117647
4,4,1.21643236909197,0.664063234816786,2.23416558224282,2.65980552409181,2.68215439449223,8,2.512341183040016,-0.2862025847324847,-0.7461106464200119,-0.9394640508545986,-0.413634742728772,-0.0191353091146703,-0.356725001709649,0.2555829959141639,-0.2804317505410061,-0.2680678263177349,0.1858325369618237,-0.025387546,0.18249314,-1.792963,-1.1225501,-0.025710216,-0.45560864,-0.19864659,0.4789325,0.45204052,-0.2054762,-0.38268465,0.24892223,0.85352105,0.33412552,0.6167298,-0.6387363,0.31472605,1.4784019,0.2825377,-0.08332219,-0.06561269,-0.5373701,-0.43021613,-0.6735919,0.19903511,-1.379294,1.1118215,-0.8274949,0.010719359,0.3140165,-0.98955035,0.5254934,-0.08575023,0.5052257,-0.45732087,1.3632821,0.54679257,-0.59744656,-0.072214,0.4388356,1.3589525,0.50475127,-1.3045714,0.81104743,-0.79851997,-1.2756563,1.1350542,0.43243134,-0.26801306,1.4236014,-0.18001533,-1.4512762,0.06907399,-0.29942608,-0.103461444,0.034100633,-0.8967293,-0.47629565,0.24151656,0.8540147,0.11180592,-0.41254234,0.44910145,-0.48930565,-0.135856243875,-0.04820012625,-0.3524729775,-0.5341969462499999,-0.0354759832749999,0.14395353125,0.03490206975,-0.165776495,-0.39221172125,-0.28387347375,-0.309611786375,0.18098360375,1.06177229375,0.189763402,0.7658429223750001,-0.69305077875,-0.59372077,0.96625479875,0.487976802,0.387268174125,0.7030121287500001,-0.6673917796250001,0.78050364125,-0.167335704875,0.0646832462499999,0.1757031062499999,0.3234371499999999,-0.0732409362499999,0.0322437813749999,0.062506969125,-0.18262273625,-0.6932500374999999,-0.092815873,0.265214271,-0.1280093649999999,0.3423291049999999,0.326531811125,-0.135957503125,-1.3770130675,-0.202972203375,-0.7625114907499999,0.9225258425,0.1231813449999999,0.35640665775,0.119582870375,-0.3464516562500001,0.0527238423749999,-0.15857670875,-0.0058005468749999,1.0529136025,0.354642967,-0.6196794546250001,-0.21876028125,-0.18508163625,0.89374639,0.74113759125,-0.5223901806250001,0.06778389875,-0.0594549328143749,-0.0226900204999999,0.50733828,-0.29843746095,0.251932200375,0.4013446313625
5,5,-0.602345442896481,0.8006570411562941,0.8219732209773959,3.54864598214836,1.17664468651542,10,0.4916436190252962,0.0737750186033288,-0.5143158894945248,0.0087795419003118,0.2869973934480027,1.0582866690045465,0.2651428686342919,0.3787369164706972,-0.4303431364434957,0.119828828189311,0.4665125735206265,-0.9579769,0.15248126,0.449952,-0.8744957,-0.4421353,0.05100557,-0.30553243,0.068538934,0.2058917,0.20431122,0.07073954,-0.742076,0.29716158,0.8506032,0.51413476,-0.72716963,-0.3926645,0.9886912,-0.6905692,-0.6563025,-0.4988982,0.324454,0.5989373,0.032994937,-0.7781818,-0.4754774,0.4447028,1.0990205,-0.88391376,0.6378723,-0.9839664,-0.33628073,-1.4619744,-0.9634149,0.7130112,-0.90865725,0.33990097,0.20479093,-1.6365204,0.17786188,-0.50045806,0.88444704,0.40474546,-1.4167846,-0.58656853,0.15666349,-0.12803142,-0.63505316,0.47768348,-0.3602333,-0.4505975,-0.23558134,0.8628568,-0.81179935,1.3268282,-0.094812974,-0.47244328,0.18695982,1.8847034,-1.0816042,0.47227418,0.01038706,-0.3950084,0.36499023,-0.435346729,0.440218580834,0.5619722650000001,0.7112685087,-0.011539484,-0.044771321,0.0884202326199999,0.613036284,-0.1409161939999999,-0.361842505,0.1489758019,0.4054731517,0.383905692,0.205576729,-0.0396166149999999,0.192077631,-0.2396598865999999,0.881169369,0.0241505776999999,0.2736147,0.199607497,-0.7031119,0.4539750028,0.09123788312,-0.6062551359999999,-0.2353709873,0.8738430090000001,-0.1730683003,-0.354393861,0.1546046485,-0.8911575620000001,0.402976901,-0.3358274185,0.01500147478,-0.0732455639999999,0.097276084,-0.0862144881,-0.0488835439999999,-0.9456886020000004,0.1721829474,-0.268672668,0.5779316290000001,-0.1264722613,-0.347241493,-0.5374120415,-0.0632756552999999,0.445940682,-0.618054452,0.0555829403999999,0.3420446305,-0.5803481629999999,-0.1595480828,0.1693871294,-0.4352923904,0.592947802,-0.8147320786999999,-0.3165233262,-0.1134891448,0.5507348600000002,0.072085594,-0.0292850594,0.192386487,-0.632800547,-0.3295112138
6,6,-0.558674169532933,-0.0556195531281473,-0.957356554434991,1.35744469076422,-0.4326243599549629,18,-0.4114705289769456,1.5136854319465831,1.272190216867772,3.1584669528360947,0.9769855073942826,0.97572320944657,1.0459766439033384,1.3622207046820225,-0.6289327502800329,1.482197565970155,-0.4205749494306467,0.22456503,0.45308548,1.2278196,-0.004945547,0.34905338,-0.39422905,0.29063153,0.8093769,-0.35170975,-0.1525312,0.16105816,0.1743005,0.35893887,-0.9192315,-0.58680457,0.13037258,0.47212788,-0.88882,0.9287516,0.39260247,-0.9143925,-0.7093816,0.716577,-0.02015968,0.10950242,0.76241755,1.2071543,0.45421702,-0.04874774,1.0883887,-0.26115543,-0.37103596,0.058320012,-0.13960023,0.017957842,0.59708214,0.4490964,-0.5089195,-0.5043026,-1.203589,0.015433978,0.634762,-0.2665429,-1.3226459,0.70015883,-0.07949083,0.83264405,-0.6004161,0.32218358,1.6293147,0.08657897,-0.28157634,-0.13695945,-1.3290404,0.20319618,-1.5063596,-0.11135006,0.934715,-0.37863958,0.06490148,0.6474625,0.34974492,-0.084762104,0.64408237,-0.0267338972222222,0.5961013891666666,-0.3365401238888889,0.4139332327777777,-0.6214178517777778,0.2424961158,0.0514904805555555,0.2557728226666667,-0.3164623566666666,-0.1518296336111111,-0.5992875768888889,0.1739931655555555,-0.1077622176666666,-0.40112327,0.1182519205555555,-0.1023674808888888,0.4021639313333333,0.2145564197222222,0.6190266066666665,0.4183461288888889,-0.5129165300666668,-0.4312818305555556,-0.0166372094999999,0.0335425437222222,-0.2670807515,-0.2542796919388889,0.4328299633333333,0.3186259277222222,-0.069267504,0.2858956531666667,-0.4090225346111112,0.0961661145388888,-0.3848590912777778,0.2751802920777777,-0.1619088522222222,0.0403900496666666,-0.2896716835777777,-0.4805679322222222,-0.6687237087222222,0.3466730272222222,-0.1321161021666667,0.564777838111111,-0.4322109613333333,-0.1253484641999999,-0.0406948468,-0.1619882971666666,-0.236704924611111,-0.4098016985555555,-0.5084918062222222,0.3142882560555555,0.1208221542222222,-0.4487909952222224,0.3737506797222222,-0.2871317463333334,0.4473067241111111,-0.0509701479999999,-0.2562977813888889,0.057872330111111,0.4717612496111111,-0.005322426111111,-0.5345293148333333,0.2302398452222222,-0.4335050763333333,0.6323861169999999
7,7,-0.758756726668311,-0.8142262291458822,-0.868450366286736,0.0314086267615067,-1.56455675846038,10,-1.1661108925253747,0.0737750186033288,-0.3614732753490934,1.0567776807429998,0.1641597597124345,0.2426462480122729,0.1892581141446016,0.2053246764165976,-0.4117037617717909,0.0441416760903752,-0.5314608897995534,-0.5441879,0.977661,-1.3476232,-0.32575145,-0.004539898,0.49839544,0.14257318,-0.27770144,-0.5807233,-0.09682607,0.42597628,-0.24297078,0.025941424,-0.8896987,-0.30207494,-0.82193327,1.8347595,0.5749026,0.38351664,0.39091632,0.81355476,-0.63040066,0.95622915,0.23008731,-0.8721826,-0.24303898,0.62594485,-0.22067748,-0.33305305,-0.13122942,-0.72497135,-0.5414091,-1.1867564,1.0908324,1.3557254,-1.3913691,-0.24386176,-0.15508366,-1.2185389,-0.3204739,-0.23582739,0.05789981,-0.07554846,-0.23963502,0.20565693,-0.19471508,0.5146677,0.043042634,-0.034090754,-0.05857436,-0.41169518,-0.86979264,-0.5254023,-0.19175036,-0.24626896,0.090574294,-2.1053574,-0.5027107,0.80284995,-1.1053828,0.015973365,0.7467424,-0.79645973,0.1757073,-0.388093988,0.0761901745999999,-0.497039365,0.214620186,0.2617043229999999,0.5350423689999999,-0.0248740856,0.1553502764999999,-0.502108899,-0.1376965859999999,-0.1680572705,0.206609581,0.1094902191,-0.476519831,0.0379455129999999,-0.29633866137,0.16372607,0.1136969934999999,0.8503076820000001,0.5070207162000001,-0.943003542,-0.5816384693,1.039610788,-0.4302442459999999,-0.083021199,-0.703099319,0.7086820045,0.0859734299999999,0.2062394062,0.682196999,-0.3136172564,-0.50273852,0.0438224989999999,-0.0321820956,0.195006951,-0.2458736791999999,0.2907766888,-0.577773749,-0.4468797952,0.56396020468,-0.182940073,0.3106796588,0.140666169,-0.425696544,-0.3795550709999999,0.2473987579999999,0.2904482405,-0.193258018,0.0274619687,0.415394524,-0.4849353465999999,-0.3891079474,-0.2666608297,-0.986107221,0.3443954981,-0.4243865118,-0.4383931274,-0.187298311,0.6358435033000001,-0.411175667,-0.0463062144999999,0.5049284212,0.0366576821999999,-0.1995104566
8,8,-0.2552001564712839,0.165741630966249,-1.2456293413998998,2.38590259531533,-0.127026713762871,14,0.0532237192327119,0.7937302252749562,1.59123934781955,2.140019224648509,0.9091099965611708,-0.5590075696451562,0.9116770064611408,0.3410164554957045,-0.5472837306038683,0.7253260449807971,-0.8165961650338911,-0.84365267,1.2015121,1.1912439,-0.20768802,-0.47662836,1.7105217,-0.6029762,0.62074435,-0.26841432,0.8862601,0.12978475,1.0193983,0.9088351,-0.48974556,0.49999052,0.21627411,-0.81552607,-0.16787463,0.0067580286,0.34445238,-0.56363595,-0.051288355,-0.35095018,0.8542835,-0.2597138,-0.25451773,0.11424511,0.1296458,-0.4232422,0.2522925,0.698607,0.34660923,-0.32247853,0.63479406,-0.3334609,0.31466514,0.039316747,0.5466701,-0.32091218,0.5780207,-0.31918296,0.4073315,-0.3610853,-0.20823193,0.18614677,-0.3233137,0.8550791,0.8207921,-0.54582524,1.0911965,1.0178581,-0.4655339,0.24030237,-1.3213071,1.1925853,-0.2411044,-0.0053348946,0.41280323,0.12135042,0.036364418,-0.7805826,1.117039,-0.8111665,1.5102458,-0.0505490471428571,0.6028292454928571,0.1078156014285714,0.1181814778571428,-0.3247790188571429,0.5932242385714285,-0.2104560277142857,-0.1985635895714285,-0.4057843928571428,-0.3815892120714285,0.5569222221428571,0.1203465385714285,0.0443070248571428,-0.4881612406714285,0.2782811804285714,0.0935232157142857,0.5738779324785714,0.619573495,0.5002225001428572,0.356311834,-0.1644034537142856,-0.7434232664285715,0.298408775,0.2360516059285714,0.0796329233571428,0.2813968621428571,0.4870257022857143,0.3640637233571429,-0.133552975,0.3142461073214285,-0.4018388703571429,0.6004623661214286,-0.4521773721428572,0.0248900219285714,-0.2312715223571428,0.1423585562142857,0.1157444995,-0.4194408978571428,-0.5208978914285715,0.3021314216692857,-0.0419502369285714,0.3476538921428571,-0.15783802555,-0.4490337639714285,-0.023043085,-0.1869138542857142,-0.1146519007857142,-0.3481432285714286,-0.1053999137142857,0.4686160371428571,0.0708286946428571,-0.2654470747857143,-0.1352920365714285,-0.3733682542857143,0.2502947847499999,-0.0838349109999999,0.0712091702857143,0.2094337885714286,0.313631993,-0.3270075082142857,-0.6050037421428572,0.7073495710000001,-0.1049036685714285,0.2608147978571428
9,9,0.2495242256359529,-0.6118262987033579,-0.0289663059908481,1.16390276016567,-0.548878709195318,14,-0.4834068866246594,0.7937302252749562,0.4905602208742929,0.5124178019673051,0.6938980298160424,-0.0816860614989787,0.7023859602328586,0.6200191090197666,-0.5572745922407282,0.8064194222296569,-0.0528409635133449,0.5381881,0.37757614,-0.7492449,-0.10377588,-0.16181356,-0.071173,-0.46668592,-1.0760794,0.46270096,-0.7397808,0.22534269,0.20159964,0.9908025,-0.09749307,0.44494334,-0.085705556,-0.74368715,0.56399107,0.38282412,-0.18221128,0.24561062,0.61834943,-0.046595402,-0.21392496,-0.73812336,-0.6527012,1.4412644,-0.2482318,0.79539907,-1.0928254,-1.0682982,-0.6876449,-1.0130603,0.30248472,0.53719866,-0.41445425,-0.323641,-0.13161229,-0.721472,-0.4716629,-0.76784885,-0.14960392,0.72599834,-1.318307,-0.67158794,0.26829535,-0.34971997,0.18477476,0.09523651,0.8457687,0.7516836,0.31622928,-0.77053976,0.16778329,0.958682,-1.8146943,-0.9769926,-0.066043116,0.9964587,0.81710374,-0.7379174,-0.05783365,-1.3882387,0.8699398,-0.0156796097857143,0.0442140857142857,0.1309745124999999,0.1837049228571428,0.1467599942714285,0.1271118767142857,-0.6117718921714285,0.2655659942857142,-0.5324097400000001,-0.300026219,-0.290782774,-0.6080825871428572,0.23210073,0.4082445935714285,0.4450755378571428,-0.0196301849285714,0.1075841517857142,0.3466484580714286,0.7051479353571428,0.1450164118571428,-0.1877998564285714,0.0949391196428571,0.7082368746428571,0.0083415609285714,-0.0575566867857142,-0.2958298607142857,0.4774519957142858,-0.0241314928214285,-0.0323607822857143,-0.1386788642857142,-0.474848921,0.0352728778571428,-0.2334723721428571,0.0849041967142857,-0.1204989149214285,0.2443213121428571,0.3045534485,-0.4611748221428571,-1.0495334935714289,-0.3610054121428572,0.0147810652857142,0.4593288742857143,0.4524028652857143,-0.4957616607142857,-0.5921396778571429,0.2964422235714285,0.2838577001428572,0.0550643405714285,-0.6885114505,0.3031202760714286,0.8343045764285714,-0.4221078133571427,-0.1287572828571428,-0.0604402835714285,-0.1188822035714285,-0.2969650079499999,-0.2530303264285714,-0.0101122865714285,0.6845227359285715,0.3546040092857143,-0.2433449377857142,0.8351445178571427,-0.1316844028571428,0.2208270935
